iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
10    |4.982406006   |4.982456006   |0.0003095486298    |0.0003077917304    |4.96092168    |5.003940332   |0.04301865234      |1.997678126   
11    |4.993148169   |4.993198169   |4.69475888e-05     |4.62649057e-05     |4.982406006   |5.003940332   |0.02153432617      |1.995367008   
12    |4.99851925    |4.99856925    |2.192619116e-06    |2.047044165e-06    |4.993148169   |5.003940332   |0.01079216309      |1.990776748   
13    |5.001204791   |5.001254791   |1.45152198e-06     |1.574501106e-06    |4.99851925    |5.003940332   |0.005421081543     |1.981722078   
14    |4.999862021   |4.999912021   |1.903823921e-08    |7.740326608e-09    |4.99851925    |5.001254791   |0.002735540771     |1.964100328   
15    |5.000533406   |5.000583406   |2.845220322e-07    |3.403626389e-07    |4.999862021   |5.001254791   |0.001392770386     |1.930688902   
16    |5.000197713   |5.000247713   |3.90906164e-08     |6.136196345e-08    |4.999862021   |5.000583406   |0.0007213851929    |1.870363081   
17    |5.000029867   |5.000079867   |8.920479777e-10    |6.378765202e-09    |4.999862021   |5.000247713   |0.0003856925964    |1.770480378   
18    |4.999945944   |4.999995944   |2.922048635e-09    |1.645094835e-11    |4.999862021   |5.000079867   |0.0002178462982    |1.626651551   
19    |4.999987906   |5.000037906   |1.462745673e-10    |1.436834336e-09    |4.999945944   |5.000079867   |0.0001339231491    |1.456294651   
call to function: 38


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.9999975     |9.0000025     |15.99998           |16.00002           |-2            |20            |22                 |1.999999545   
2     |3.49999875    |3.50000375    |2.25000375         |2.24998875         |-2            |9.0000025     |11.0000025         |1.999999091   
3     |6.249998125   |6.250003125   |1.562495313        |1.562507813        |3.49999875    |9.0000025     |5.50000375         |1.999998182   
4     |4.874998438   |4.875003438   |0.01562539063      |0.01562414064      |3.49999875    |6.250003125   |2.750004375        |1.999996364   
5     |5.562498281   |5.562503281   |0.3164043164       |0.3164099414       |4.874998438   |6.250003125   |1.375004687        |1.999992727   
6     |5.218748359   |5.218753359   |0.04785084473      |0.04785303224      |4.874998438   |5.562503281   |0.6875048437       |1.999985455   
7     |5.046873398   |5.046878398   |0.002197115481     |0.00219758424      |4.874998438   |5.218753359   |0.3437549219       |1.99997091    
8     |4.960935918   |4.960940918   |0.001526002505     |0.001525611889     |4.874998438   |5.046878398   |0.1718799609       |1.999941822   
9     |5.003904658   |5.003909658   |1.524635568e-05    |1.528542727e-05    |4.960935918   |5.046878398   |0.08594248047      |1.99988365    
10    |4.982420288   |4.982425288   |0.000309046271     |0.0003088704989    |4.960935918   |5.003909658   |0.04297374023      |1.999767327   
11    |4.993162473   |4.993167473   |4.67517735e-05     |4.668342323e-05    |4.982420288   |5.003909658   |0.02148937012      |1.999534762   
12    |4.998533566   |4.998538566   |2.150429633e-06    |2.13579029e-06     |4.993162473   |5.003909658   |0.01074718506      |1.999069956   
13    |5.001219112   |5.001224112   |1.486233919e-06    |1.498450038e-06    |4.998533566   |5.003909658   |0.005376092529     |1.998141641   
