iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
19    |4.999895314   |5.000663014   |1.095925575e-08    |4.395879252e-07    |4.998359912   |5.002198416   |0.003838503681     |1.6           
20    |4.999127613   |4.999895314   |7.610594273e-07    |1.095925575e-08    |4.998359912   |5.000663014   |0.002303102209     |1.666666667   
21    |4.999895314   |4.999895314   |1.095925575e-08    |1.095925575e-08    |4.999127613   |5.000663014   |0.001535401473     |1.5           
22    |4.999895314   |4.999895314   |1.095925575e-08    |1.095925575e-08    |4.999127613   |4.999895314   |0.0007677007363    |2             
call to function: 24


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403252247   |6.403252247   |1.96911687         |1.96911687         |-2            |11.59674775   |13.59674775        |1.618033989   
2     |3.193495505   |6.403252247   |3.26345849         |1.96911687         |-2            |6.403252247   |8.403252247        |1.618033989   
3     |6.403252247   |8.38699101    |1.96911687         |11.4717081         |3.193495505   |6.403252247   |3.209756742        |2.618033989   
4     |5.177234268   |6.403252247   |0.03141198581      |1.96911687         |3.193495505   |8.38699101    |5.193495505        |0.6180339887  
5     |4.419513484   |5.177234268   |0.3369645948       |0.03141198581      |3.193495505   |6.403252247   |3.209756742        |1.618033989   
6     |5.177234268   |5.645531464   |0.03141198581      |0.4167108706       |4.419513484   |6.403252247   |1.983738763        |1.618033988   
7     |4.88781068    |5.177234268   |0.01258644354      |0.03141198581      |4.419513484   |5.645531464   |1.226017979        |1.61803399    
8     |4.708937073   |4.88781068    |0.08471762767      |0.01258644354      |4.419513484   |5.177234268   |0.7577207837       |1.618033985   
9     |4.88781068    |4.998360661   |0.01258644354      |2.687432698e-06    |4.708937073   |5.177234268   |0.4682971955       |1.618033999   
10    |4.998360661   |5.066684287   |2.687432698e-06    |0.00444679416      |4.88781068    |5.177234268   |0.2894235882       |1.618033963   
11    |4.956134306   |4.998360661   |0.001924199089     |2.687432698e-06    |4.88781068    |5.066684287   |0.1788736073       |1.618034056   
12    |4.998360661   |5.024457933   |2.687432698e-06    |0.0005981904644    |4.956134306   |5.066684287   |0.110549981        |1.618033813   
13    |4.982231578   |4.998360661   |0.0003157168244    |2.687432698e-06    |4.956134306   |5.024457933   |0.06832362631      |1.618034448   
14    |4.998360661   |5.00832885    |2.687432698e-06    |6.93697346e-05     |4.982231578   |5.024457933   |0.04222635466      |1.618032787   
15    |4.992199767   |4.998360661   |6.084364222e-05    |2.687432698e-06    |4.982231578   |5.00832885    |0.02609727165      |1.618037135   
16    |4.998360661   |5.002167955   |2.687432698e-06    |4.700029612e-06    |4.992199767   |5.00832885    |0.01612908301      |1.618025751   
17    |4.996007061   |4.998360661   |1.594356345e-05    |2.687432698e-06    |4.992199767   |5.002167955   |0.00996818864      |1.618055556   
18    |4.998360661   |4.999814355   |2.687432698e-06    |3.446403904e-08    |4.996007061   |5.002167955   |0.006160894368     |1.617977528   
19    |4.999814355   |5.000714261   |3.446403904e-08    |5.101687641e-07    |4.998360661   |5.002167955   |0.003807294272     |1.618181818   
20    |4.999260567   |4.999814355   |5.467614353e-07    |3.446403904e-08    |4.998360661   |5.000714261   |0.002353600096     |1.617647059   
21    |4.999814355   |5.000160473   |3.446403904e-08    |2.575149829e-08    |4.999260567   |5.000714261   |0.001453694177     |1.619047619   
22    |5.000160473   |5.000368143   |2.575149829e-08    |1.355295118e-07    |4.999814355   |5.000714261   |0.0008999059189    |1.615384615   
23    |5.000022026   |5.000160473   |4.851301101e-10    |2.575149829e-08    |4.999814355   |5.000368143   |0.0005537882578    |1.625         
24    |4.999952802   |5.000022026   |2.227638261e-09    |4.851301101e-10    |4.999814355   |5.000160473   |0.0003461176611    |1.6           
25    |5.000022026   |5.000091249   |4.851301101e-10    |8.326416787e-09    |4.999952802   |5.000160473   |0.0002076705967    |1.666666667   
26    |5.000022026   |5.000022026   |4.851301101e-10    |4.851301101e-10    |4.999952802   |5.000091249   |0.0001384470645    |1.5           
27    |5.000022026   |5.000022026   |4.851301101e-10    |4.851301101e-10    |4.999952802   |5.000022026   |6.922353223e-05    |2             
call to function: 29


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403252248   |6.403252248   |1.96911687         |1.96911687         |-2            |11.59674775   |13.59674775        |1.618033989   
2     |3.193495505   |6.403252248   |3.26345849         |1.96911687         |-2            |6.403252248   |8.403252248        |1.618033989   
3     |6.403252248   |8.38699101    |1.96911687         |11.4717081         |3.193495505   |6.403252248   |3.209756743        |2.618033989   
4     |5.177234267   |6.403252248   |0.03141198557      |1.96911687         |3.193495505   |8.38699101    |5.193495505        |0.6180339888  
5     |4.419513485   |5.177234267   |0.3369645941       |0.03141198557      |3.193495505   |6.403252248   |3.209756743        |1.618033989   
6     |5.177234267   |5.645531465   |0.03141198557      |0.4167108724       |4.419513485   |6.403252248   |1.983738762        |1.618033989   
7     |4.887810683   |5.177234267   |0.01258644294      |0.03141198557      |4.419513485   |5.645531465   |1.22601798         |1.618033989   
8     |4.70893707    |4.887810683   |0.08471762927      |0.01258644294      |4.419513485   |5.177234267   |0.7577207825       |1.618033989   
9     |4.887810683   |4.998360655   |0.01258644294      |2.68745266e-06     |4.70893707    |5.177234267   |0.4682971976       |1.618033989   
10    |4.998360655   |5.066684295   |2.68745266e-06     |0.004446795234     |4.887810683   |5.177234267   |0.2894235849       |1.618033989   
11    |4.956134323   |4.998360655   |0.001924197616     |2.68745266e-06     |4.887810683   |5.066684295   |0.1788736127       |1.618033988   
12    |4.998360655   |5.024457963   |2.68745266e-06     |0.0005981919775    |4.956134323   |5.066684295   |0.1105499722       |1.61803399    
13    |4.982231632   |4.998360655   |0.000315714912     |2.68745266e-06     |4.956134323   |5.024457963   |0.06832364045      |1.618033985   
14    |4.998360655   |5.00832894    |2.68745266e-06     |6.937124773e-05    |4.982231632   |5.024457963   |0.04222633178      |1.618033999   
15    |4.992199917   |4.998360655   |6.084129065e-05    |2.68745266e-06     |4.982231632   |5.00832894    |0.02609730867      |1.618033963   
16    |4.998360655   |5.002168203   |2.68745266e-06     |4.701103519e-06    |4.992199917   |5.00832894    |0.01612902311      |1.618034056   
17    |4.996007465   |4.998360655   |1.59403334e-05     |2.68745266e-06     |4.992199917   |5.002168203   |0.009968285565     |1.618033813   
18    |4.998360655   |4.999815013   |2.68745266e-06     |3.42200736e-08     |4.996007465   |5.002168203   |0.006160737541     |1.618034448   
19    |4.999815013   |5.000713844   |3.42200736e-08     |5.09573719e-07     |4.998360655   |5.002168203   |0.003807548024     |1.618032787   
20    |4.999259486   |4.999815013   |5.48361256e-07     |3.42200736e-08     |4.998360655   |5.000713844   |0.002353189517     |1.618037135   
21    |4.999815013   |5.000158317   |3.42200736e-08     |2.506421722e-08    |4.999259486   |5.000713844   |0.001454358508     |1.618025751   
22    |5.000158317   |5.000370541   |2.506421722e-08    |1.373004946e-07    |4.999815013   |5.000713844   |0.000898831009     |1.618055556   
23    |5.000027237   |5.000158317   |7.418706912e-10    |2.506421722e-08    |4.999815013   |5.000370541   |0.0005555274986    |1.617977528   
24    |4.999946093   |5.000027237   |2.9059822e-09      |7.418706912e-10    |4.999815013   |5.000158317   |0.0003433035104    |1.618181818   
25    |5.000027237   |5.000077172   |7.418706912e-10    |5.955573049e-09    |4.999946093   |5.000158317   |0.0002122239882    |1.617647059   
26    |4.999996028   |5.000027237   |1.577763189e-11    |7.418706912e-10    |4.999946093   |5.000077172   |0.0001310795221    |1.619047619   
27    |4.999977302   |4.999996028   |5.1518798e-10      |1.577763189e-11    |4.999946093   |5.000027237   |8.114446609e-05    |1.615384615   
28    |4.999996028   |5.000008512   |1.577763189e-11    |7.244830967e-11    |4.999977302   |5.000027237   |4.993505606e-05    |1.625         
29    |4.999989786   |4.999996028   |1.04325566e-10     |1.577763189e-11    |4.999977302   |5.000008512   |3.120941003e-05    |1.6           
30    |4.999996028   |5.00000227    |1.577763189e-11    |5.151879796e-12    |4.999989786   |5.000008512   |1.872564602e-05    |1.666666667   
31    |5.00000227    |5.00000227    |5.151879796e-12    |5.151879796e-12    |4.999996028   |5.000008512   |1.248376401e-05    |1.5           
32    |5.00000227    |5.00000227    |5.151879796e-12    |5.151879796e-12    |4.999996028   |5.00000227    |6.241882007e-06    |2             
call to function: 34


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
